Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,70.790001,71.519997,69.970001,70.550003,69.301247,42000
2021-02-01,70.540001,70.790001,70.339996,70.449997,69.203011,15500
2021-02-02,71.160004,72.279999,71.139999,72.279999,71.000618,39300
2021-02-03,72.500000,78.150002,72.269997,76.879997,75.519196,148700
2021-02-04,78.000000,78.940002,77.930000,78.839996,77.444504,41300
2021-02-05,80.320000,80.629997,79.820000,80.629997,79.202820,33000
2021-02-08,79.910004,80.629997,79.900002,80.250000,78.829552,32900
2021-02-09,79.900002,79.949997,79.209999,79.690002,78.279465,29400
2021-02-10,79.639999,79.879997,78.459999,78.629997,77.238220,14900
2021-02-11,79.059998,79.570000,78.500000,78.699997,77.306984,8200
2021-02-12,77.620003,78.449997,77.620003,78.190002,76.806015,30700
2021-02-16,78.620003,78.989998,78.309998,78.440002,77.051590,11800
2021-02-17,78.400002,79.129997,78.089996,79.050003,77.650795,22100
2021-02-18,81.010002,81.589996,80.519997,81.150002,79.713623,32200
2021-02-19,81.029999,82.000000,81.000000,81.199997,79.762733,34200
2021-02-22,80.180000,81.599998,80.180000,81.300003,79.860970,17200
2021-02-23,79.660004,79.940002,78.680000,79.629997,78.220520,21200
2021-02-24,79.870003,80.470001,79.650002,80.470001,79.045654,19200
2021-02-25,80.809998,81.470001,79.089996,79.300003,77.896370,24900
2021-02-26,80.739998,80.739998,79.970001,80.300003,78.878670,12300
2021-03-01,79.720001,80.529999,79.389999,80.160004,78.741150,22400
2021-03-02,81.839996,82.849998,81.839996,82.629997,81.167419,40400
2021-03-03,83.239998,83.730003,82.900002,83.129997,81.658569,21400
2021-03-04,84.120003,85.500000,83.470001,83.489998,82.012199,29300
2021-03-05,84.709999,84.709999,83.449997,84.449997,82.955208,37300
2021-03-08,85.099998,86.419998,84.970001,85.739998,84.222374,27800
2021-03-09,85.290001,85.809998,84.440002,85.529999,84.016090,23200
2021-03-10,85.389999,86.650002,85.389999,86.650002,85.116272,27200
2021-03-11,85.510002,86.360001,84.500000,85.330002,83.819633,40800
2021-03-12,83.250000,85.120003,83.250000,85.019997,83.515114,19200
2021-03-15,84.059998,84.519997,83.330002,83.739998,82.257774,23600
2021-03-16,85.389999,85.389999,84.250000,84.760002,83.259720,37600
2021-03-17,84.169998,85.889999,83.800003,85.580002,84.065208,48000
2021-03-18,87.199997,88.620003,86.930000,87.730003,86.177155,55200
2021-03-19,87.559998,88.019997,86.769997,87.690002,86.137863,20000
2021-03-22,88.309998,88.699997,87.930000,88.430000,86.864761,15000
2021-03-23,85.989998,86.459999,85.379997,85.400002,83.888397,17800
2021-03-24,83.839996,84.900002,83.839996,84.050003,82.562294,21100
2021-03-25,84.410004,85.680000,84.029999,85.680000,84.163437,8100
2021-03-26,85.680000,86.669998,85.680000,86.599998,85.067154,20100
2021-03-29,87.070000,87.300003,86.180000,87.300003,85.754768,30700
2021-03-30,87.449997,88.699997,87.449997,88.629997,87.061218,9700
2021-03-31,89.820000,89.820000,88.809998,89.489998,87.905998,22900
2021-04-01,88.339996,89.360001,87.400002,89.139999,89.139999,23100
2021-04-05,88.169998,91.349998,88.169998,91.260002,91.260002,39800
2021-04-06,89.629997,90.300003,89.250000,89.440002,89.440002,17700
2021-04-07,90.040001,90.290001,89.400002,89.790001,89.790001,16300
2021-04-08,88.160004,88.760002,87.500000,88.400002,88.400002,21700
2021-04-09,88.489998,89.500000,88.449997,89.500000,89.500000,32200
2021-04-12,91.099998,91.690002,90.349998,90.650002,90.650002,31400
2021-04-13,91.239998,91.239998,90.040001,90.669998,90.669998,32800
2021-04-14,90.279999,90.739998,89.889999,90.199997,90.199997,34100
2021-04-15,89.739998,90.589996,89.739998,90.559998,90.559998,29600
2021-04-16,92.010002,93.419998,92.010002,93.300003,93.300003,63100
2021-04-19,91.470001,92.209999,91.110001,91.709999,91.709999,33200
2021-04-20,90.500000,90.500000,88.620003,89.099998,89.099998,22700
2021-04-21,87.250000,89.099998,86.699997,89.099998,89.099998,16300
2021-04-22,88.779999,88.870003,87.870003,87.980003,87.980003,16200
2021-04-23,87.900002,89.349998,87.680000,88.949997,88.949997,19400
2021-04-26,88.449997,90.349998,88.449997,90.190002,90.190002,29800
2021-04-27,90.150002,90.379997,89.790001,90.110001,90.110001,21100
2021-04-28,90.989998,91.260002,90.540001,90.839996,90.839996,13700
2021-04-29,89.989998,89.989998,88.300003,89.720001,89.720001,18200
2021-04-30,89.309998,89.849998,88.620003,88.620003,88.620003,12600
2021-05-03,90.250000,90.360001,89.500000,89.650002,89.650002,24500
2021-05-04,88.459999,88.690002,83.800003,84.660004,84.660004,72200
2021-05-05,85.970001,86.820000,85.580002,86.440002,86.440002,14600
